Date,Clorofilla a,Clorofilla in tensione,Cond. Spec. 25 ï½°C,LDO,LDO % Sat,pH,Redox,Temp Acqua,
2019-07-04T00:00:00,32.8,0.55634,371,9.37,118.6,7.86,313,27.31,
2019-07-04T00:15:00,32.7,0.55373,371,9.22,116.8,7.83,315,27.3,
2019-07-04T00:30:00,32,0.54303,369,9.51,120.5,7.87,314,27.29,
2019-07-04T00:45:00,32.3,0.54748,370,9.2,116.5,7.84,315,27.28,
2019-07-04T01:00:00,36.8,0.62236,371,9.1,115.1,7.82,317,27.28,
2019-07-04T01:15:00,33,0.55896,371,9.02,114.1,7.81,319,27.26,
2019-07-04T01:30:00,31.5,0.53386,371,9.13,115.5,7.84,317,27.24,
2019-07-04T01:45:00,28.4,0.48378,371,9.09,114.9,7.84,318,27.22,
2019-07-04T02:00:00,30.8,0.52287,371,9.09,114.9,7.85,319,27.21,
2019-07-04T02:15:00,31.8,0.53904,370,8.95,113.1,7.82,319,27.19,
2019-07-04T02:30:00,32.9,0.55741,369,9.69,122.4,7.89,317,27.18,
2019-07-04T02:45:00,32.6,0.55332,370,9.66,122,7.88,318,27.16,
2019-07-04T03:00:00,31.2,0.5293,370,9.59,121.1,7.88,319,27.14,
2019-07-04T03:15:00,33.5,0.56791,371,9.23,116.6,7.85,320,27.12,
2019-07-04T03:30:00,32.4,0.54938,371,9.26,116.9,7.85,321,27.12,
2019-07-04T03:45:00,32.5,0.55094,371,9.16,115.6,7.85,321,27.1,
2019-07-04T04:00:00,32.1,0.54385,372,9.13,115.2,7.83,322,27.08,
2019-07-04T04:15:00,32.7,0.55525,372,9.02,113.7,7.82,322,27.03,
2019-07-04T04:30:00,33.6,0.56931,372,9.04,113.9,7.83,322,27.04,
2019-07-04T04:45:00,31.9,0.54161,372,9.1,114.7,7.84,322,27.04,
2019-07-04T05:00:00,33.4,0.56547,372,9.16,115.5,7.83,322,27.04,
2019-07-04T05:15:00,33.5,0.56758,373,9.13,115.1,7.83,322,27.02,
2019-07-04T05:30:00,30.4,0.51634,373,9.03,113.8,7.75,225,27.04,
2019-07-04T05:45:00,29.7,0.50442,373,9.26,116.7,7.76,244,27.04,
2019-07-04T06:00:00,28.6,0.48647,373,8.68,109.3,7.76,282,26.98,
2019-07-04T06:15:00,28.7,0.48828,371,8.3,104.4,7.74,296,26.92,
2019-07-04T06:30:00,27.8,0.47273,369,8.44,106.1,7.73,304,26.89,
2019-07-04T06:45:00,27.8,0.47358,369,8.43,105.9,7.73,309,26.87,
2019-07-04T07:00:00,26.9,0.4579,369,7.87,98.8,7.64,313,26.84,
2019-07-04T07:15:00,25.5,0.43472,368,7.68,96.4,7.62,316,26.81,
2019-07-04T07:30:00,25.5,0.43508,367,7.56,94.9,7.6,318,26.79,
2019-07-04T07:45:00,25.1,0.42818,367,7.48,93.9,7.6,317,26.78,
2019-07-04T08:00:00,24.7,0.42178,367,7.67,96.2,7.63,317,26.77,
2019-07-04T08:15:00,23.2,0.39714,366,7.6,95.3,7.61,318,26.74,
2019-07-04T08:30:00,22.8,0.38991,366,8.12,101.8,7.64,316,26.77,
2019-07-04T08:45:00,20.8,0.35688,366,8.09,101.7,7.63,314,26.89,
2019-07-04T09:00:00,20.3,0.34979,366,8.46,106.6,7.75,308,27.01,
2019-07-04T09:15:00,21.9,0.37501,366,9.06,114.3,7.8,304,27.08,
2019-07-04T09:30:00,22.7,0.38932,366,9.5,120.1,7.82,301,27.17,
2019-07-04T09:45:00,21.9,0.37585,365,9.54,120.5,7.83,297,27.2,
2019-07-04T10:00:00,21.1,0.36294,366,9.86,125,7.91,298,27.39,
2019-07-04T10:15:00,19.3,0.33182,366,10.09,128.3,7.93,297,27.52,
2019-07-04T10:30:00,18.8,0.32405,365,10.72,136.7,8.01,293,27.72,
2019-07-04T10:45:00,17.8,0.3075,365,10.58,135.2,7.99,293,27.82,
2019-07-04T11:00:00,20.6,0.35422,362,10.23,130.4,7.93,296,27.69,
2019-07-04T11:15:00,20,0.34344,366,10.12,129.2,7.93,297,27.75,
2019-07-04T11:30:00,30.3,0.5153,365,9.56,121.4,7.85,304,27.5,
2019-07-04T11:45:00,24.4,0.41626,364,10.37,131.9,7.95,303,27.51,
2019-07-04T12:00:00,22.6,0.38767,364,10.43,132.8,7.95,303,27.6,
2019-07-04T12:15:00,23.7,0.40554,365,10.02,127.4,7.9,306,27.52,
2019-07-04T12:30:00,22.6,0.388,365,10.48,133.1,7.98,305,27.44,
2019-07-04T12:45:00,23.2,0.3974,364,11.8,149.9,8.07,300,27.49,
2019-07-04T13:00:00,31.5,0.534,362,12.46,158.3,8.17,293,27.5,
2019-07-04T13:15:00,31.4,0.53229,362,13.12,166.8,8.22,292,27.54,
2019-07-04T13:30:00,33.4,0.56611,362,13.45,170.9,8.22,290,27.52,
2019-07-04T13:45:00,31.7,0.53841,361,13.23,168.1,8.21,292,27.48,
2019-07-04T14:00:00,31.8,0.54018,362,13.17,167.4,8.21,290,27.49,
2019-07-04T14:15:00,31.1,0.52853,363,13.08,166.3,8.2,289,27.55,
2019-07-04T14:30:00,34.9,0.59041,363,12.95,164.5,8.19,290,27.47,
2019-07-04T14:45:00,34.6,0.58639,361,13.67,173.8,8.24,288,27.5,
2019-07-04T15:00:00,33.8,0.5728,362,13.54,172,8.22,288,27.47,
2019-07-04T15:15:00,34.2,0.57978,363,12.8,162.6,8.15,292,27.44,
2019-07-04T15:30:00,33.8,0.5728,363,12.75,161.7,8.17,293,27.39,
2019-07-04T15:45:00,32.3,0.54839,364,12.31,156.3,8.13,293,27.48,
2019-07-04T16:00:00,34.5,0.58477,364,11.59,146.8,8.05,296,27.32,
2019-07-04T16:15:00,34.9,0.59014,364,11.67,148,8.06,298,27.38,
2019-07-04T16:30:00,34.9,0.59103,362,12.48,158.4,8.13,296,27.4,
2019-07-04T16:45:00,35.9,0.60686,362,12.66,160.7,8.14,294,27.46,
2019-07-04T17:00:00,37.2,0.62896,359,13.84,176.1,8.3,287,27.59,
2019-07-04T17:15:00,38.7,0.65454,360,13.6,173.2,8.25,286,27.6,
2019-07-04T17:30:00,36.7,0.62051,360,13.46,171.6,8.25,286,27.69,
2019-07-04T17:45:00,38.1,0.64338,360,13.49,171.9,8.24,284,27.66,
2019-07-04T18:00:00,36.7,0.6209,358,14.63,186.9,8.34,279,27.79,
2019-07-04T18:15:00,34.8,0.58882,356,15.43,197.9,8.4,275,28.03,
2019-07-04T18:30:00,35.5,0.60158,357,15.23,195.4,8.39,275,28.05,
2019-07-04T18:45:00,35.3,0.59779,357,15.05,193.2,8.38,275,28.09,
2019-07-04T19:00:00,36.2,0.61265,357,15.2,195.5,8.41,274,28.17,
2019-07-04T19:15:00,36.5,0.61689,356,15.69,201.9,8.43,272,28.2,
2019-07-04T19:30:00,37.3,0.6302,356,15.5,199.4,8.42,273,28.19,
2019-07-04T19:45:00,38,0.64243,355,15.74,202.4,8.44,274,28.18,
2019-07-04T20:00:00,33.2,0.56328,357,15.01,192.7,8.38,277,28.08,
2019-07-04T20:15:00,39.7,0.67071,358,14.95,191.9,8.39,277,28.08,
2019-07-04T20:30:00,35.5,0.60067,357,15.23,195.6,8.39,278,28.08,
2019-07-04T20:45:00,37.8,0.6384,354,15.72,201.7,8.44,278,28.06,
2019-07-04T21:00:00,35.8,0.60633,354,15.59,200.1,8.44,280,28.04,
2019-07-04T21:15:00,36.3,0.61476,354,15.61,200.3,8.42,281,28.03,
2019-07-04T21:30:00,35.8,0.60556,355,15.28,196,8.41,283,28.02,
2019-07-04T21:45:00,37.6,0.63527,355,15,192.3,8.39,284,27.99,
2019-07-04T22:00:00,35.8,0.60628,355,14.94,191.4,8.38,285,27.96,
2019-07-04T22:15:00,31.8,0.53968,356,14.74,188.7,8.38,286,27.94,
2019-07-04T22:30:00,36.1,0.61147,356,14.81,189.6,8.37,287,27.93,
2019-07-04T22:45:00,33.2,0.56191,356,14.62,187.1,8.36,288,27.9,
2019-07-04T23:00:00,36.3,0.61425,356,14.52,185.8,8.36,289,27.88,
2019-07-04T23:15:00,34.8,0.58856,355,15.06,192.7,8.38,290,27.88,
2019-07-04T23:30:00,31.3,0.53146,355,14.89,190.4,8.38,289,27.87,
2019-07-04T23:45:00,34,0.57597,356,14.75,188.6,8.38,291,27.85,
2019-07-05T00:00:00,33.4,0.56647,356,14.55,185.9,8.35,293,27.82,
2019-07-05T00:15:00,31.9,0.54112,358,13.91,177.5,8.3,296,27.74,
2019-07-05T00:30:00,31.1,0.52743,356,12.15,154.8,8.11,306,27.62,
2019-07-05T00:45:00,29.9,0.50789,354,11.15,141.9,8.02,313,27.56,
2019-07-05T01:00:00,28.7,0.48892,355,11.15,141.8,8.02,315,27.54,
2019-07-05T01:15:00,32.1,0.54444,356,11.06,140.6,8,318,27.5,
2019-07-05T01:30:00,31.3,0.53051,358,10.53,133.7,7.93,322,27.43,
2019-07-05T01:45:00,30,0.50966,357,10.11,128.2,7.9,325,27.37,
2019-07-05T02:00:00,28.1,0.47804,357,10.74,136.2,7.95,323,27.38,
2019-07-05T02:15:00,27.7,0.47112,356,10.6,134.3,7.97,322,27.36,
2019-07-05T02:30:00,30.5,0.51805,358,10.07,127.6,7.89,326,27.33,
2019-07-05T02:45:00,29.6,0.50324,357,9.86,124.8,7.87,329,27.3,
2019-07-05T03:00:00,32,0.54355,358,9.63,121.9,7.83,331,27.26,
2019-07-05T03:15:00,36,0.60878,358,9.46,119.6,7.82,332,27.21,
2019-07-05T03:30:00,30.6,0.51886,359,9.33,117.9,7.8,333,27.17,
2019-07-05T03:45:00,31.7,0.53789,359,8.88,112.1,7.8,334,27.14,
2019-07-05T04:00:00,33.5,0.56738,359,9.35,118,7.81,334,27.12,
2019-07-05T04:15:00,31.3,0.53061,359,9.12,115.2,7.8,336,27.11,
2019-07-05T04:30:00,30.2,0.5124,359,9.13,115.2,7.77,337,27.1,
2019-07-05T04:45:00,29.8,0.50723,359,9.31,117.4,7.78,337,27.09,
2019-07-05T05:00:00,28.1,0.4776,359,9.2,116,7.77,337,27.09,
2019-07-05T05:15:00,31.1,0.52825,360,9.14,115.3,7.76,337,27.08,
2019-07-05T05:30:00,32.2,0.54584,360,9.03,113.9,7.72,320,27.07,
2019-07-05T05:45:00,32.3,0.54769,360,9.18,115.8,7.64,251,27.07,
2019-07-05T06:00:00,29.1,0.49541,360,9.09,114.6,7.69,287,27.07,
2019-07-05T06:15:00,28.2,0.4802,360,8.77,110.6,7.66,298,27.05,
2019-07-05T06:30:00,34.6,0.58526,361,8.81,111,7.69,307,27.03,
2019-07-05T06:45:00,30.9,0.52506,360,8.98,113.2,7.69,313,27.02,
2019-07-05T07:00:00,27.4,0.4669,360,8.81,111,7.71,317,27.02,
2019-07-05T07:15:00,28.2,0.47956,356,9.16,115.5,7.71,320,27.03,
2019-07-05T07:30:00,25.9,0.44256,361,9.03,113.8,7.7,321,27.04,
2019-07-05T07:45:00,28.6,0.48584,361,8.93,112.6,7.69,323,27.03,
2019-07-05T08:00:00,26.6,0.45406,361,8.94,112.5,7.68,324,26.97,
2019-07-05T08:15:00,27.8,0.47313,361,8.65,108.8,7.65,325,26.94,
2019-07-05T08:30:00,25.2,0.43104,361,8.93,112.2,7.68,326,26.88,
2019-07-05T08:45:00,23.3,0.39946,361,8.88,111.6,7.71,326,26.88,
2019-07-05T09:00:00,22.9,0.39295,361,8.87,111.5,7.68,328,26.88,
2019-07-05T09:15:00,19.8,0.3406,360,9.03,113.8,7.7,327,27.02,
2019-07-05T09:30:00,19.6,0.33829,361,8.99,113.1,7.7,330,26.94,
2019-07-05T09:45:00,19,0.32758,361,9.13,115.7,7.72,325,27.35,
2019-07-05T10:00:00,21.2,0.36335,361,9,113.5,7.69,327,27.05,
2019-07-05T10:15:00,21.3,0.36644,361,9.33,117.8,7.71,327,27.12,
2019-07-05T10:30:00,23.6,0.40353,360,10.2,128.8,7.82,325,27.1,
2019-07-05T10:45:00,23.5,0.40221,360,10.31,130.3,7.83,321,27.19,
2019-07-05T11:00:00,25.1,0.42805,359,12.01,152.1,8.03,311,27.31,
2019-07-05T11:15:00,22.2,0.38089,359,11.86,150.9,8.01,311,27.55,
2019-07-05T11:30:00,20.5,0.3526,359,11.05,142.3,7.99,308,28.21,
2019-07-05T11:45:00,16.6,0.28737,359,11.26,145.5,8.02,304,28.47,
2019-07-05T12:00:00,15.8,0.27442,359,11.38,147.7,8.06,300,28.72,
2019-07-05T12:15:00,17.5,0.30234,359,11.68,151.1,8.07,298,28.52,
2019-07-05T12:30:00,21.4,0.36659,358,12.59,162.8,8.11,297,28.46,
2019-07-05T12:45:00,24.3,0.41571,359,12.44,160.4,8.1,298,28.33,
2019-07-05T13:00:00,23.2,0.39756,357,13.01,168.2,8.15,296,28.45,
2019-07-05T13:15:00,22.9,0.39241,358,12.72,163.7,8.12,299,28.23,
2019-07-05T13:30:00,26,0.44274,358,13.1,168.2,8.13,299,28.11,
2019-07-05T13:45:00,30.1,0.51175,355,14.59,187.1,8.26,294,28,
2019-07-05T14:00:00,29.9,0.50771,355,14.46,185.2,8.24,294,27.96,
2019-07-05T14:15:00,28.4,0.48327,355,14.53,187,8.26,291,28.2,
2019-07-05T14:30:00,30.4,0.51647,355,14.85,191.4,8.27,290,28.29,
2019-07-05T14:45:00,29.8,0.50672,355,14.84,191.8,8.3,286,28.45,
2019-07-05T15:00:00,29.4,0.49941,347,14.88,192.1,8.29,284,28.4,
2019-07-05T15:15:00,30.6,0.51991,355,14.74,190.1,8.26,284,28.33,
2019-07-05T15:30:00,32.2,0.54579,355,14.83,191.3,8.27,285,28.33,
2019-07-05T15:45:00,36.7,0.62018,354,15.23,196.2,8.27,287,28.27,
2019-07-05T16:00:00,36.2,0.61187,354,15.15,195.4,8.28,287,28.32,
2019-07-05T16:15:00,29.9,0.50843,354,14.89,192.4,8.28,285,28.44,
2019-07-05T16:30:00,30.6,0.52002,354,14.77,190.3,8.23,284,28.29,
2019-07-05T16:45:00,30.6,0.52044,353,15,193.5,8.26,287,28.36,
2019-07-05T17:00:00,31.1,0.52799,353,14.99,193.4,8.26,287,28.36,
2019-07-05T17:15:00,33.3,0.5645,353,14.9,192.1,8.24,290,28.3,
2019-07-05T17:30:00,30.4,0.51596,353,14.58,187.9,8.26,292,28.29,
2019-07-05T17:45:00,29.6,0.5024,353,14.58,187.8,8.27,293,28.29,
2019-07-05T18:00:00,30.4,0.51709,353,14.27,183.8,8.25,293,28.26,
2019-07-05T18:15:00,32.3,0.54805,352,14.65,188.7,8.26,294,28.25,
2019-07-05T18:30:00,32,0.54211,354,13.8,177.6,8.2,297,28.22,
2019-07-05T18:45:00,30.4,0.51651,355,13.76,177,8.21,298,28.19,
2019-07-05T19:00:00,31.9,0.54134,354,13.69,176,8.21,300,28.16,
2019-07-05T19:15:00,33.1,0.5613,354,13.69,176.1,8.2,300,28.16,
2019-07-05T19:30:00,32.3,0.54748,353,13.88,178.4,8.22,299,28.14,
2019-07-05T19:45:00,34.3,0.58054,353,13.66,175.5,8.2,302,28.12,
2019-07-05T20:00:00,38.3,0.64675,351,13.62,174.8,8.18,305,28.07,
2019-07-05T20:15:00,34.4,0.58213,353,13.48,173.2,8.2,306,28.1,
2019-07-05T20:30:00,32.6,0.55198,352,13.57,174.3,8.2,308,28.09,
2019-07-05T20:45:00,34.5,0.58469,353,13.36,171.5,8.18,309,28.09,
2019-07-05T21:00:00,30.2,0.51317,353,13.18,169.2,8.17,312,28.06,
2019-07-05T21:15:00,30.6,0.52038,353,13.13,168.5,8.16,313,28.04,
2019-07-05T21:30:00,32,0.54253,327,13.14,168.5,8.16,316,28.02,
2019-07-05T21:45:00,30.6,0.52033,353,12.93,165.8,8.13,318,28.01,
2019-07-05T22:00:00,27.7,0.4724,353,12.75,163.5,8.13,319,28,
2019-07-05T22:15:00,31,0.52615,353,12.83,164.4,8.14,320,28,
2019-07-05T22:30:00,28.1,0.47814,353,12.88,165,8.14,321,27.98,
2019-07-05T22:45:00,27.7,0.47164,353,12.67,162.4,8.1,324,27.96,
2019-07-05T23:00:00,29,0.4931,342,12.71,162.7,8.09,326,27.94,
2019-07-05T23:15:00,25.7,0.43774,352,12.63,161.7,8.08,328,27.93,
2019-07-05T23:30:00,27.6,0.47078,353,12.62,161.6,8.09,328,27.92,
2019-07-05T23:45:00,27.8,0.47392,354,12.31,157.7,8.07,330,27.91,
2019-07-06T00:00:00,29.5,0.50067,356,11.73,150,8.03,333,27.88,
2019-07-06T00:15:00,30.2,0.51271,355,11.22,143.4,7.98,336,27.8,
2019-07-06T00:30:00,28.6,0.48686,356,10.5,133.9,7.92,340,27.71,
2019-07-06T00:45:00,26.7,0.45493,356,10.45,133.3,7.92,341,27.68,
2019-07-06T01:00:00,27.1,0.46159,357,10.24,130.5,7.9,342,27.66,
2019-07-06T01:15:00,27.6,0.47009,357,10.18,129.7,7.88,344,27.63,
2019-07-06T01:30:00,27.2,0.46312,357,10.06,128,7.86,346,27.57,
2019-07-06T01:45:00,26.6,0.45341,356,10.32,131.4,7.91,344,27.62,
2019-07-06T02:00:00,26.4,0.44943,339,9.9,126,7.85,347,27.59,
2019-07-06T02:15:00,26.5,0.45131,357,9.97,126.9,7.85,349,27.57,
2019-07-06T02:30:00,27.5,0.46795,358,9.8,124.7,7.82,351,27.56,
2019-07-06T02:45:00,26.9,0.45796,358,9.75,124,7.81,351,27.55,
2019-07-06T03:00:00,26.7,0.45533,358,9.67,123,7.82,352,27.55,
2019-07-06T03:15:00,27.2,0.46282,358,9.74,123.9,7.82,353,27.55,
2019-07-06T03:30:00,27.8,0.47317,358,9.59,122,7.8,355,27.54,
2019-07-06T03:45:00,25.4,0.43285,358,9.74,123.9,7.81,355,27.51,
2019-07-06T04:00:00,26.4,0.44964,358,9.58,121.8,7.8,357,27.5,
2019-07-06T04:15:00,29,0.49298,360,8.84,112.3,7.71,362,27.46,
2019-07-06T04:30:00,31.6,0.53621,360,8.9,112.8,7.71,363,27.37,
2019-07-06T04:45:00,26,0.44338,361,8.82,111.7,7.7,365,27.34,
2019-07-06T05:00:00,27.2,0.46384,362,8.59,108.8,7.67,367,27.31,
2019-07-06T05:15:00,31.4,0.53253,361,8.59,108.8,7.67,368,27.3,
2019-07-06T05:30:00,31,0.52675,353,8.56,108.4,7.62,328,27.3,
2019-07-06T05:45:00,30.9,0.52538,358,8.75,110.8,7.57,250,27.29,
2019-07-06T06:00:00,27.5,0.46874,349,8.83,111.8,7.58,268,27.29,
2019-07-06T06:15:00,28,0.47607,314,8.64,109.4,7.58,287,27.28,
2019-07-06T06:30:00,28.2,0.47934,359,8.77,111,7.6,305,27.28,
2019-07-06T06:45:00,28.1,0.47884,354,8.79,111.3,7.6,316,27.27,
2019-07-06T07:00:00,28.5,0.48451,362,8.27,104.7,7.55,327,27.28,
2019-07-06T07:15:00,27.1,0.46217,361,8.27,104.5,7.55,336,27.2,
2019-07-06T07:30:00,24.3,0.41457,361,8.43,106.4,7.56,340,27.16,
2019-07-06T07:45:00,24.6,0.42069,362,8.39,106,7.55,345,27.17,
2019-07-06T08:00:00,23.4,0.40011,363,8.26,104.4,7.54,348,27.18,
2019-07-06T08:15:00,23,0.39333,361,8.02,101.3,7.52,352,27.14,
2019-07-06T08:30:00,23.8,0.40658,349,8.01,101.1,7.53,354,27.15,
2019-07-06T08:45:00,22.5,0.38556,361,8.41,106.5,7.58,354,27.32,
2019-07-06T09:00:00,20.9,0.35859,327,7.91,99.9,7.53,360,27.14,
2019-07-06T09:15:00,19.8,0.34033,363,8.48,107.3,7.59,360,27.21,
2019-07-06T09:30:00,20.9,0.35942,360,9.66,123.2,7.66,315,27.7,
2019-07-06T09:45:00,21.1,0.36267,363,8.25,104.5,7.59,349,27.27,
2019-07-06T10:00:00,21.3,0.36514,363,9,114,7.64,350,27.29,
2019-07-06T10:15:00,21.8,0.37427,362,9.56,121,7.67,349,27.25,
2019-07-06T10:30:00,20.3,0.34876,362,9.51,120.2,7.7,354,27.22,
2019-07-06T10:45:00,20.6,0.3541,364,8.95,113.5,7.63,358,27.38,
2019-07-06T11:00:00,20.6,0.35376,362,9.73,123.4,7.75,356,27.39,
2019-07-06T11:15:00,20.5,0.35265,362,9.7,123,7.74,332,27.37,
2019-07-06T11:30:00,21.1,0.36257,361,10.29,130.7,7.8,345,27.48,
2019-07-06T11:45:00,20.9,0.35874,361,10.55,134.4,7.81,346,27.62,
2019-07-06T12:00:00,23.1,0.39552,358,10.7,136.5,7.83,345,27.71,
2019-07-06T12:15:00,21.7,0.37179,353,10.99,140.3,7.94,341,27.75,
2019-07-06T12:30:00,23.1,0.39474,350,11.65,149.6,7.99,339,28.09,
2019-07-06T12:45:00,22.8,0.3905,359,12.06,154.8,8.03,337,28.04,
2019-07-06T13:00:00,25.6,0.43634,344,12.32,157.7,8.06,333,27.91,
2019-07-06T13:15:00,26,0.44375,349,13.43,172.4,8.15,330,28.07,
2019-07-06T13:30:00,26.8,0.45709,336,13.37,171.9,8.16,326,28.16,
2019-07-06T13:45:00,30.1,0.51101,357,13.27,171,8.14,326,28.28,
2019-07-06T14:00:00,27.6,0.47036,359,12.55,161.6,8.08,330,28.21,
2019-07-06T14:15:00,28,0.47652,359,13.06,168.6,8.13,327,28.39,
2019-07-06T14:30:00,28,0.47742,329,13.29,172,8.17,325,28.55,
2019-07-06T14:45:00,30.7,0.52119,328,14.12,182.7,8.24,322,28.53,
2019-07-06T15:00:00,28.9,0.4912,309,14.92,193.4,8.31,313,28.65,
2019-07-06T15:15:00,31.6,0.53693,354,15.36,200.1,8.33,308,28.88,
2019-07-06T15:30:00,29,0.49311,356,14.91,194,8.31,308,28.83,
2019-07-06T15:45:00,31.2,0.53041,337,15,195.3,8.33,306,28.9,
2019-07-06T16:00:00,30.9,0.52456,358,13.99,181.6,8.23,313,28.73,
2019-07-06T16:15:00,30.5,0.51865,358,14.22,185.8,8.28,312,29.09,
2019-07-06T16:30:00,32.8,0.55622,357,14.64,191.4,8.31,311,29.11,
2019-07-06T16:45:00,36.6,0.6189,356,14.49,189.1,8.3,313,29.01,
2019-07-06T17:00:00,36.3,0.61345,357,15.07,196.1,8.33,315,28.86,
2019-07-06T17:15:00,34.6,0.58653,358,14.83,193.5,8.31,310,28.99,
2019-07-06T17:30:00,33.5,0.5671,357,14.85,193.3,8.31,316,28.86,
2019-07-06T17:45:00,34.7,0.5873,352,14.54,189.4,8.31,310,28.89,
2019-07-06T18:00:00,34.5,0.58374,360,13.82,179.5,8.25,318,28.72,
2019-07-06T18:15:00,34.2,0.57852,357,14.75,192.2,8.33,317,28.9,
2019-07-06T18:30:00,35.3,0.59704,357,15.52,202.3,8.37,311,28.95,
2019-07-06T18:45:00,32.6,0.55202,357,15.04,196.5,8.35,310,29.08,
2019-07-06T19:00:00,31.6,0.53575,360,13.93,181.7,8.28,315,28.99,
2019-07-06T19:15:00,33.4,0.56641,360,13.98,182.2,8.27,319,28.95,
2019-07-06T19:30:00,26.9,0.45816,360,13.99,182.3,8.28,322,28.92,
2019-07-06T19:45:00,30.9,0.52526,361,13.54,176,8.27,322,28.81,
2019-07-06T20:00:00,31.4,0.53317,361,13.26,172.2,8.23,327,28.74,
2019-07-06T20:15:00,34.5,0.58458,363,12.84,166.4,8.15,335,28.6,
2019-07-06T20:30:00,34.8,0.5889,363,12.51,161.9,8.12,341,28.51,
2019-07-06T20:45:00,37.8,0.63946,362,12.32,158.9,8.06,346,28.31,
2019-07-06T21:00:00,34.5,0.58364,345,12.48,161,8.07,352,28.37,
2019-07-06T21:15:00,33.2,0.56247,364,11.74,151.2,8.04,357,28.28,
2019-07-06T21:30:00,31.7,0.53825,364,11.84,152.4,8.05,356,28.24,
2019-07-06T21:45:00,30.8,0.52245,350,11.7,150.4,8.02,359,28.16,
2019-07-06T22:00:00,33.7,0.5708,356,11.44,146.9,7.98,364,28.1,
2019-07-06T22:15:00,32.2,0.54571,347,11.8,151.5,8.02,361,28.06,
2019-07-06T22:30:00,31.8,0.53927,339,11.74,150.7,8.03,363,28.06,
2019-07-06T22:45:00,33.4,0.56561,357,11.84,151.9,8.05,363,28.03,
2019-07-06T23:00:00,32.8,0.55688,335,11.76,150.8,8.06,365,27.98,
2019-07-06T23:15:00,31.3,0.53182,335,11.41,146.2,8.02,368,27.96,
2019-07-06T23:30:00,33.8,0.57287,359,11.1,142.1,7.99,369,27.93,
2019-07-06T23:45:00,33.1,0.56149,299,11.03,141.3,8.01,369,27.92,